update,org,not,nand,and,orn,or,andn,nor,xor,equ,dead,parasites,parasite_not,parasite_nand,parasite_and,parasite_orn,parasite_or,parasite_andn,parasite_nor,parasite_xor,parasite_equ
114,2343,7,0,43,0,0,133,39,0,0,74,0,0,0,0,0,0,0,0,0,0
115,2288,7,0,43,0,0,133,39,0,0,69,0,0,0,0,0,0,0,0,0,0
116,2207,7,0,43,0,0,134,40,0,0,107,0,0,0,0,0,0,0,0,0,0
117,2071,7,0,42,0,0,132,40,0,0,163,0,0,0,0,0,0,0,0,0,0
118,2012,7,0,45,0,0,133,41,0,0,94,0,0,0,0,0,0,0,0,0,0
119,1950,7,0,45,0,0,135,42,0,0,89,0,0,0,0,0,0,0,0,0,0
120,1925,8,0,44,0,0,137,42,0,0,68,0,0,0,0,0,0,0,0,0,0
121,1879,8,0,44,0,0,135,41,0,0,77,0,0,0,0,0,0,0,0,0,0
122,1839,8,0,42,0,0,134,41,0,0,84,0,0,0,0,0,0,0,0,0,0
123,1806,8,0,43,0,0,132,41,0,0,75,0,0,0,0,0,0,0,0,0,0
124,1768,8,0,43,0,0,131,42,0,0,81,0,0,0,0,0,0,0,0,0,0
125,1746,8,0,41,0,0,129,43,0,0,72,0,0,0,0,0,0,0,0,0,0
126,1690,7,0,42,0,0,129,42,0,0,97,0,0,0,0,0,0,0,0,0,0
127,1644,6,0,42,0,0,125,42,0,0,81,0,0,0,0,0,0,0,0,0,0
128,1635,6,0,42,0,0,125,42,0,0,59,0,0,0,0,0,0,0,0,0,0
129,1611,6,0,43,0,0,127,42,0,0,68,0,0,0,0,0,0,0,0,0,0
130,1589,5,0,44,0,0,123,42,0,0,84,0,0,0,0,0,0,0,0,0,0
131,1575,5,0,44,0,0,120,42,0,0,68,0,0,0,0,0,0,0,0,0,0
132,1550,5,0,45,0,0,120,42,0,0,66,0,0,0,0,0,0,0,0,0,0
133,1540,5,0,45,0,0,117,41,0,0,58,0,0,0,0,0,0,0,0,0,0
134,1525,5,0,45,0,0,118,42,0,0,67,0,0,0,0,0,0,0,0,0,0
135,1497,4,0,43,0,0,116,42,0,0,71,0,0,0,0,0,0,0,0,0,0
136,1462,4,0,43,0,0,115,42,0,0,77,0,0,0,0,0,0,0,0,0,0
137,1442,3,0,43,0,0,115,46,0,0,57,0,0,0,0,0,0,0,0,0,0
138,1448,3,0,40,0,0,114,47,0,0,57,0,0,0,0,0,0,0,0,0,0
139,1436,3,0,40,0,0,116,47,0,0,53,0,0,0,0,0,0,0,0,0,0
140,1429,3,0,41,0,0,115,45,0,0,69,0,0,0,0,0,0,0,0,0,0
141,1412,3,0,42,0,0,117,44,0,0,59,0,0,0,0,0,0,0,0,0,0
142,1391,3,0,41,0,0,118,44,0,0,79,0,0,0,0,0,0,0,0,0,0
143,1394,3,0,39,0,0,120,45,0,0,50,0,0,0,0,0,0,0,0,0,0
144,1376,3,0,38,0,0,120,46,0,0,70,0,0,0,0,0,0,0,0,0,0
145,1376,3,0,37,0,0,121,45,0,0,60,0,0,0,0,0,0,0,0,0,0
146,1362,3,0,38,0,0,119,44,0,0,61,0,0,0,0,0,0,0,0,0,0
147,1354,3,0,38,0,0,120,43,0,0,45,0,0,0,0,0,0,0,0,0,0
148,1343,3,0,39,0,0,121,43,0,0,55,0,0,0,0,0,0,0,0,0,0
149,1340,3,0,38,0,0,119,44,0,0,61,0,0,0,0,0,0,0,0,0,0
150,1359,3,0,38,0,0,120,42,0,0,50,0,0,0,0,0,0,0,0,0,0
151,1355,3,0,38,0,0,120,44,0,0,55,0,0,0,0,0,0,0,0,0,0
152,1357,3,0,39,0,0,119,44,0,0,52,0,0,0,0,0,0,0,0,0,0
153,1359,3,0,39,0,0,116,43,0,0,45,0,0,0,0,0,0,0,0,0,0
154,1353,3,0,41,0,0,115,42,0,0,59,0,0,0,0,0,0,0,0,0,0
155,1353,3,0,41,0,0,114,42,0,0,46,0,0,0,0,0,0,0,0,0,0
156,1341,3,0,41,0,0,117,40,0,0,66,0,0,0,0,0,0,0,0,0,0
157,1315,3,0,43,0,0,117,40,0,0,59,0,0,0,0,0,0,0,0,0,0
158,1310,3,0,44,0,0,118,39,0,0,57,0,0,0,0,0,0,0,0,0,0
159,1309,3,0,44,0,0,116,39,0,0,50,0,0,0,0,0,0,0,0,0,0
160,1316,3,0,43,0,0,115,39,0,0,56,0,0,0,0,0,0,0,0,0,0
161,1304,3,0,43,0,0,110,38,0,0,56,0,0,0,0,0,0,0,0,0,0
162,1311,4,0,42,0,0,109,38,0,0,51,0,0,0,0,0,0,0,0,0,0
163,1319,4,0,42,0,0,108,37,0,0,41,0,0,0,0,0,0,0,0,0,0
164,1304,4,0,43,0,0,110,39,0,0,59,0,0,0,0,0,0,0,0,0,0
165,1275,4,0,42,0,0,106,39,0,0,68,0,0,0,0,0,0,0,0,0,0
166,1262,4,0,42,0,0,105,40,0,0,60,0,0,0,0,0,0,0,0,0,0
167,1255,4,0,42,0,0,105,40,0,0,47,0,0,0,0,0,0,0,0,0,0
168,1250,4,0,40,0,0,106,39,0,0,57,0,0,0,0,0,0,0,0,0,0
169,1242,4,0,40,0,0,106,39,0,0,50,0,0,0,0,0,0,0,0,0,0
170,1267,4,0,41,0,0,107,39,0,0,51,0,0,0,0,0,0,0,0,0,0
171,1260,5,0,40,0,0,107,38,0,0,53,0,0,0,0,0,0,0,0,0,0
172,1259,5,0,39,0,0,104,38,0,0,51,0,0,0,0,0,0,0,0,0,0
173,1278,5,0,39,0,0,102,39,0,0,33,0,0,0,0,0,0,0,0,0,0
174,1269,5,0,38,0,0,101,40,0,0,54,0,0,0,0,0,0,0,0,0,0
175,1251,5,0,38,0,0,101,41,0,0,64,0,0,0,0,0,0,0,0,0,0
176,1239,5,0,37,0,0,102,41,0,0,60,0,0,0,0,0,0,0,0,0,0
177,1208,5,0,37,0,0,98,41,0,0,63,0,0,0,0,0,0,0,0,0,0
178,1208,5,0,37,0,0,98,41,0,0,45,0,0,0,0,0,0,0,0,0,0
179,1193,4,0,37,0,0,96,41,0,0,64,0,0,0,0,0,0,0,0,0,0
180,1194,4,0,37,0,0,98,41,0,0,51,0,0,0,0,0,0,0,0,0,0
181,1190,4,0,37,0,0,102,39,0,0,43,0,0,0,0,0,0,0,0,0,0
182,1181,5,0,37,0,0,102,36,0,0,60,0,0,0,0,0,0,0,0,0,0
183,1194,5,0,39,0,0,102,35,0,0,35,0,0,0,0,0,0,0,0,0,0
184,1173,5,0,38,0,0,102,34,0,0,64,0,0,0,0,0,0,0,0,0,0
185,1167,4,0,39,0,0,100,35,0,0,50,0,0,0,0,0,0,0,0,0,0
186,1151,4,0,39,0,0,99,35,0,0,55,0,0,0,0,0,0,0,0,0,0
187,1143,4,0,39,0,0,97,33,0,0,47,0,0,0,0,0,0,0,0,0,0
188,1131,3,0,40,0,0,97,33,0,0,55,0,0,0,0,0,0,0,0,0,0
189,1128,3,0,40,0,0,100,32,0,0,50,0,0,0,0,0,0,0,0,0,0
190,1135,3,0,40,0,0,100,31,0,0,45,0,0,0,0,0,0,0,0,0,0
191,1130,3,0,39,0,0,100,31,0,0,45,0,0,0,0,0,0,0,0,0,0
192,1139,3,0,40,0,0,102,32,0,0,44,0,0,0,0,0,0,0,0,0,0
193,1148,3,0,40,0,0,101,31,0,0,41,0,0,0,0,0,0,0,0,0,0
194,1141,3,0,39,0,0,102,31,0,0,50,0,0,0,0,0,0,0,0,0,0
195,1143,3,0,38,0,0,103,30,0,0,50,0,0,0,0,0,0,0,0,0,0
